序号,刊名,收录,2023IF,JCR分区,中科院分区
233 ,JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,SSCI,2.0 ,Q3,3区
234 ,BEHAVIOR MODIFICATION,SSCI,2.0 ,Q3,3区
235 ,JOURNAL OF PSYCHOLOGY,SSCI,2.2 ,Q2,3区
236 ,COGNITIVE DEVELOPMENT,SSCI,1.8 ,Q3,3区
237 ,Ecopsychology,ESCI,2.0 ,Q2,3区
238 ,HUMAN FACTORS,SSCI,2.9 ,Q2,3区
239 ,AUSTRALIAN JOURNAL OF PSYCHOLOGY,SSCI,3.6 ,Q1,3区
240 ,COGNITION & EMOTION,SSCI,2.6 ,Q2,3区
241 ,JOURNAL OF MATHEMATICAL PSYCHOLOGY,SSCI,2.2 ,Q2,3区
242 ,International Journal of Adolescence and Youth,ESCI,1.9 ,Q3,3区
243 ,CULTURE & PSYCHOLOGY,SSCI,1.0 ,Q3,3区
244 ,CONTEMPORARY PSYCHOANALYSIS,SSCI,0.5 ,Q2,3区
245 ,COGNITIVE AND BEHAVIORAL PRACTICE,SSCI,2.9 ,Q1,3区
246 ,Neuropsychologia,SSCI,2.0 ,Q3,3区
247 ,International Gambling Studies,#N/A,#N/A,#N/A,3区
248 ,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,SSCI,2.5 ,Q2,3区
249 ,Emerging Adulthood,SSCI,2.6 ,Q2,3区
250 ,APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,SSCI,2.2 ,Q2,3区
251 ,JOURNAL OF HEALTH PSYCHOLOGY,SSCI,2.5 ,Q2,3区
252 ,AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH,SSCI,1.9 ,Q3,3区
253 ,ECOLOGICAL PSYCHOLOGY,SSCI,1.8 ,Q3,3区
254 ,JOURNAL OF PEDIATRIC PSYCHOLOGY,SSCI,2.7 ,Q2,3区
255 ,Empirical Studies of the Arts,SSCI,1.5 ,Q3,3区
256 ,CONSCIOUSNESS AND COGNITION,SSCI,2.1 ,Q2,3区
257 ,Europes Journal of Psychology,ESCI,1.8 ,Q2,3区
258 ,PSYCHOLOGY & HEALTH,SSCI,2.4 ,Q2,3区
259 ,CURRENT PSYCHOLOGY,SSCI,2.5 ,Q2,3区
260 ,Frontiers in Psychology,SSCI,2.6 ,Q2,3区
261 ,Attention Perception & Psychophysics,SSCI,1.7 ,Q3,3区
262 ,Journal of Pacific Rim Psychology,SSCI,2.8 ,Q1,3区
263 ,JOURNAL OF EARLY ADOLESCENCE,SSCI,2.0 ,Q3,3区
264 ,JOURNAL OF ADULT DEVELOPMENT,SSCI,1.8 ,Q3,3区
265 ,PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG,SSCI,2.2 ,Q2,3区
266 ,ANXIETY STRESS AND COPING,SSCI,2.3 ,Q2,3区
267 ,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,#N/A,#N/A,#N/A,3区
268 ,Journal of Gender-Based Violence,#N/A,#N/A,#N/A,3区
269 ,PSYCHOLOGICA BELGICA,SSCI,2.7 ,Q1,3区
270 ,HUMOR-INTERNATIONAL JOURNAL OF HUMOR RESEARCH,SSCI,1.2 ,Q3,3区
271 ,APPLIED COGNITIVE PSYCHOLOGY,SSCI,2.1 ,Q2,3区
272 ,BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,SSCI,2.6 ,Q2,3区
273 ,Zeitschrift fur Psychologie-Journal of Psychology,SSCI,2.0 ,Q2,3区
274 ,PSYCHOLOGY IN THE SCHOOLS,SSCI,1.8 ,Q3,3区
275 ,Decision-Washington,ESCI,1.0 ,Q3,3区
276 ,Journal of Social and Political Psychology,ESCI,1.8 ,Q3,3区
277 ,EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT,SSCI,3.2 ,Q2,3区
278 ,Research in Psychotherapy-Psychopathology Process and Outcome,ESCI,1.6 ,Q3,3区
279 ,JOURNAL OF VISION,#N/A,#N/A,#N/A,3区
280 ,Language and Cognition,SSCI,1.1 ,Q4,3区
281 ,BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,SSCI,2.0 ,Q3,3区
282 ,Behavior Analysis in Practice,ESCI,2.1 ,Q2,3区
283 ,Psychology Learning and Teaching-PLAT,ESCI,1.9 ,Q2,3区
284 ,JOURNAL OF COMMUNITY PSYCHOLOGY,SSCI,2.0 ,Q2,3区
285 ,Translational Issues in Psychological Science,ESCI,1.9 ,Q2,3区
286 ,JOURNAL OF GAMBLING STUDIES,SSCI,2.4 ,Q2,3区
287 ,NEUROPSYCHOLOGY,SSCI,2.6 ,Q2,3区
288 ,BRAIN AND COGNITION,SSCI,2.2 ,Q2,3区
289 ,Journal of Media Psychology-Theories Methods and Applications,SSCI,1.7 ,Q2,3区
290 ,HUMAN MOVEMENT SCIENCE,SSCI,1.6 ,Q3,3区
291 ,JOURNAL OF HOMOSEXUALITY,SSCI,2.4 ,Q2,3区
292 ,Behavior and Social Issues,ESCI,1.6 ,Q2,3区
293 ,Spatial Cognition and Computation,SSCI,1.6 ,Q3,3区
294 ,I-Perception,SSCI,2.4 ,Q2,3区
295 ,JOURNAL OF APPLIED BEHAVIORAL SCIENCE,SSCI,2.3 ,Q2,3区
296 ,INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,SSCI,2.0 ,Q3,3区
297 ,International Review of Social Psychology,SSCI,2.0 ,Q3,3区
298 ,CLINICAL NEUROPSYCHOLOGIST,SSCI,3.0 ,Q1,3区
299 ,SCANDINAVIAN JOURNAL OF PSYCHOLOGY,SSCI,1.8 ,Q2,3区
300 ,Journal of School Violence,SSCI,2.3 ,Q2,3区
301 ,Journal of Cognition and Development,SSCI,1.6 ,Q3,3区
